country,zone,date,households,sewer_connections,public_toilets,workforce,f_workforce,ww_collected,ww_treated,ww_reused,w_supplied,hh_emptied,fs_treated,fs_reused
cameroon,Yaounde 1,Jan-20,245721,18817,99,22,18,55787,38456,20163,491565,27356,56746,38958
cameroon,Yaounde 1,Feb-20,245721,18817,101,23,16,60499,40173,23300,261948,45267,199854,123580
cameroon,Yaounde 1,Mar-20,245721,18817,103,23,16,38845,19542,14993,113356,53022,168910,106543
cameroon,Yaounde 1,Apr-20,245721,18817,102,20,17,18015,14152,8131,254157,50607,54996,39945
cameroon,Yaounde 1,May-20,245721,18817,99,20,19,77282,47855,24905,161079,30364,12854,7885
cameroon,Yaounde 1,Jun-20,245721,18817,100,22,19,79909,42671,30929,336977,34378,145740,106382
cameroon,Yaounde 1,Jul-20,245721,18817,99,21,20,7405,4494,3271,279483,39895,85853,55829
cameroon,Yaounde 1,Aug-20,245721,18817,103,22,19,34622,17544,10578,108425,47687,181560,137403
cameroon,Yaounde 1,Sep-20,245721,18817,103,22,20,79089,52010,33962,354023,30625,60609,45167
cameroon,Yaounde 1,Oct-20,245721,18817,99,20,20,65681,51069,27192,208256,41410,85787,59519
cameroon,Yaounde 1,Nov-20,245721,18817,99,20,20,86458,50858,26485,160583,45269,68777,43470
cameroon,Yaounde 1,Dec-20,245721,18817,98,23,20,42741,23710,11883,176475,33329,10426,7299
cameroon,Yaounde 1,Jan-21,255602,18992,74,34,15,49799,29539,14800,192801,31526,165579,115654
cameroon,Yaounde 1,Feb-21,255602,18992,70,33,16,11955,8162,6382,129253,29662,147867,108700
cameroon,Yaounde 1,Mar-21,255602,18992,72,33,14,42076,28154,21460,461963,60954,36087,25723
cameroon,Yaounde 1,Apr-21,255602,18992,72,32,18,41221,24448,12770,324607,27220,162798,120129
cameroon,Yaounde 1,May-21,255602,18992,69,32,14,48305,30679,20897,162662,35452,118513,77657
cameroon,Yaounde 1,Jun-21,255602,18992,72,35,14,10246,8110,6415,238411,28672,47593,34352
cameroon,Yaounde 1,Jul-21,255602,18992,70,32,17,17687,9428,6908,232882,53842,85689,55063
cameroon,Yaounde 1,Aug-21,255602,18992,73,32,18,42475,22101,13342,387872,26295,95051,75933
cameroon,Yaounde 1,Sep-21,255602,18992,73,34,14,79797,47163,33824,326953,43643,104455,64346
cameroon,Yaounde 1,Oct-21,255602,18992,73,34,15,51065,29459,20070,174786,51416,111588,80206
cameroon,Yaounde 1,Nov-21,255602,18992,69,32,18,58634,40773,31572,293350,39269,162255,112982
cameroon,Yaounde 1,Dec-21,255602,18992,72,34,15,65451,35268,27940,164227,62234,190654,123696
cameroon,Yaounde 1,Jan-22,263169,15003,51,25,12,21175,14257,8451,236020,53715,125801,96803
cameroon,Yaounde 1,Feb-22,263169,15003,51,24,10,62607,36846,27088,330928,49133,97108,58667
cameroon,Yaounde 1,Mar-22,263169,15003,52,25,10,14843,9804,7203,479328,40520,96233,76698
cameroon,Yaounde 1,Apr-22,263169,15003,56,26,10,67076,51456,35073,285278,46700,180239,111495
cameroon,Yaounde 1,May-22,263169,15003,51,23,14,82885,49971,34951,202818,57488,58149,44104
cameroon,Yaounde 1,Jun-22,263169,15003,53,23,14,78970,58051,29496,488384,61310,132626,82126
cameroon,Yaounde 1,Jul-22,263169,15003,51,23,13,31423,19728,13672,197855,26394,195886,150881
cameroon,Yaounde 1,Aug-22,263169,15003,52,25,11,83010,50922,38227,326069,46753,153961,118200
cameroon,Yaounde 1,Sep-22,263169,15003,52,23,12,88008,56289,31961,174261,61059,124326,97090
cameroon,Yaounde 1,Oct-22,263169,15003,53,23,13,32991,18294,9546,268311,40178,12568,7845
cameroon,Yaounde 1,Nov-22,263169,15003,51,26,10,93658,74197,43107,451147,38752,21963,13575
cameroon,Yaounde 1,Dec-22,263169,15003,54,26,14,76875,60938,31697,209278,35014,98477,63236
cameroon,Yaounde 1,Jan-23,278116,15713,76,43,10,38757,21122,10900,202298,39970,152141,119643
cameroon,Yaounde 1,Feb-23,278116,15713,74,43,12,49297,28959,16513,142470,28739,138244,99381
cameroon,Yaounde 1,Mar-23,278116,15713,76,42,9,22790,11832,8462,123541,48005,151402,113556
cameroon,Yaounde 1,Apr-23,278116,15713,77,42,9,14417,10162,7913,484052,64246,107027,85500
cameroon,Yaounde 1,May-23,278116,15713,76,42,12,96632,68721,47171,394461,40720,20562,13096
cameroon,Yaounde 1,Jun-23,278116,15713,73,42,11,37440,20838,13838,101805,38991,128867,98133
cameroon,Yaounde 1,Jul-23,278116,15713,72,41,10,20968,13470,10570,488997,65714,9603,6855
cameroon,Yaounde 1,Aug-23,278116,15713,73,43,12,58442,33071,19312,326261,34254,152808,115632
cameroon,Yaounde 1,Sep-23,278116,15713,76,44,13,55400,40313,27826,109298,50893,30684,24202
cameroon,Yaounde 1,Oct-23,278116,15713,75,44,13,76430,38309,27743,129906,29628,68495,49675
cameroon,Yaounde 1,Nov-23,278116,15713,77,42,13,11087,8220,5083,190646,46215,55369,37673
cameroon,Yaounde 1,Dec-23,278116,15713,73,44,13,65293,37766,24986,269114,56794,14770,10800
cameroon,Yaounde 1,Jan-24,283499,19896,47,30,8,82138,61487,48331,302945,51656,183626,133980
cameroon,Yaounde 1,Feb-24,283499,19896,45,30,8,46172,24345,16817,473217,37951,19820,12258
cameroon,Yaounde 1,Mar-24,283499,19896,42,29,11,16476,10237,5779,260217,57579,172479,132898
cameroon,Yaounde 1,Apr-24,283499,19896,44,29,9,95303,68567,40485,128171,47161,41506,29220
cameroon,Yaounde 1,May-24,283499,19896,43,31,10,82681,53607,27760,430815,47111,13175,9579
cameroon,Yaounde 1,Jun-24,283499,19896,44,31,9,98995,77849,46814,496917,36253,95399,58725
cameroon,Yaounde 1,Jul-24,283499,19896,43,30,10,97140,57189,29249,303012,65549,175951,124108
cameroon,Yaounde 1,Aug-24,283499,19896,46,31,7,97919,53766,39492,293358,67952,114182,68621
cameroon,Yaounde 1,Sep-24,283499,19896,47,29,10,23603,15690,11806,163743,35710,9737,7485
cameroon,Yaounde 1,Oct-24,283499,19896,47,30,8,49209,33430,18461,261495,57070,112761,72892
cameroon,Yaounde 1,Nov-24,283499,19896,44,31,7,34637,26507,14177,419538,62681,131172,92892
cameroon,Yaounde 1,Dec-24,283499,19896,47,30,9,95338,70322,47908,483811,48471,51239,34856
cameroon,Yaounde 2,Jan-20,102592,4572,63,31,12,8076,6326,4058,492725,23278,126646,88395
cameroon,Yaounde 2,Feb-20,102592,4572,66,30,13,40714,20865,11327,277424,24667,118131,89036
cameroon,Yaounde 2,Mar-20,102592,4572,65,32,15,20076,12544,7012,108806,15858,74908,46307
cameroon,Yaounde 2,Apr-20,102592,4572,62,31,14,5974,4461,2714,468167,11958,102487,65224
cameroon,Yaounde 2,May-20,102592,4572,65,31,15,6931,4982,3414,286893,22641,82755,55463
cameroon,Yaounde 2,Jun-20,102592,4572,63,30,14,51291,26270,20762,480898,21158,11525,8014
cameroon,Yaounde 2,Jul-20,102592,4572,66,32,14,71399,54708,39740,278307,24244,54645,40923
cameroon,Yaounde 2,Aug-20,102592,4572,64,32,13,17736,12060,6386,258098,17777,165948,111731
cameroon,Yaounde 2,Sep-20,102592,4572,62,32,15,95498,70419,46205,381917,23018,117469,91504
cameroon,Yaounde 2,Oct-20,102592,4572,67,33,14,44099,25205,19086,210972,15069,66985,50459
cameroon,Yaounde 2,Nov-20,102592,4572,66,32,16,13951,9725,5830,237207,23352,101793,72300
cameroon,Yaounde 2,Dec-20,102592,4572,66,31,12,5445,3574,2836,253614,11263,192853,149900
cameroon,Yaounde 2,Jan-21,106777,7971,70,38,8,35154,20080,10469,118446,17825,110390,68939
cameroon,Yaounde 2,Feb-21,106777,7971,71,39,5,14174,10598,6392,486764,21819,152711,101860
cameroon,Yaounde 2,Mar-21,106777,7971,73,39,6,66140,50667,37284,467396,26167,196395,135636
cameroon,Yaounde 2,Apr-21,106777,7971,72,38,6,57202,33624,24746,187015,13438,24557,18237
cameroon,Yaounde 2,May-21,106777,7971,72,38,9,76143,49820,31605,341202,21923,64756,46428
cameroon,Yaounde 2,Jun-21,106777,7971,71,39,5,28770,20567,15523,216938,13260,162561,112187
cameroon,Yaounde 2,Jul-21,106777,7971,71,39,8,84914,53300,31389,231939,15763,89578,56925
cameroon,Yaounde 2,Aug-21,106777,7971,68,39,6,5294,3459,1902,321397,17983,179084,110388
cameroon,Yaounde 2,Sep-21,106777,7971,72,38,6,20052,15549,8440,172225,19878,166466,119342
cameroon,Yaounde 2,Oct-21,106777,7971,71,38,6,41769,21129,16538,260896,12102,26923,16513
cameroon,Yaounde 2,Nov-21,106777,7971,73,36,9,28579,18284,10975,117403,23043,92510,55680
cameroon,Yaounde 2,Dec-21,106777,7971,71,36,7,17677,9537,7362,373655,15401,19179,13223
cameroon,Yaounde 2,Jan-22,114396,5549,47,46,9,13666,9152,4918,213495,19849,107321,83675
