country,zone,year,safely_managed,safely_managed_pct,basic,basic_pct,limited,limited_pct,unimproved,unimproved_pct,surface_water,surface_water_pct,other_pct,popn_total,households,municipal_coverage
cameroon,Yaounde 1,2020,421062,40.2,421014,40.19,116961,11.17,66418,6.34,22067,2.11,0,1047522,245721,327186
cameroon,Yaounde 2,2020,202825,45.87,183897,41.59,36083,8.16,13041,2.95,6341,1.43,0,442187,102592,168579
cameroon,Yaounde 3,2020,121637,43.4,113160,40.37,28321,10.1,13497,4.82,3662,1.31,0,280277,65180,98887
cameroon,Yaounde 4,2020,189321,40.24,198298,42.14,52484,11.15,24604,5.23,5827,1.24,0,470535,108511,152156
cameroon,Yaounde 5,2020,68690,47.66,54060,37.51,12825,8.9,6882,4.77,1678,1.16,0,144136,33711,53263
cameroon,Yaounde 6,2020,109665,41.59,107278,40.68,30543,11.58,11978,4.54,4223,1.6,0,263687,61508,98533
cameroon,Yaounde 7,2020,62355,41.12,67502,44.51,14969,9.87,4904,3.23,1925,1.27,0,151656,35264,44466
cameroon,Yaounde 1,2021,477185,43.91,415183,38.2,108637,10,65736,6.05,19988,1.84,0,1086729,255602,335257
cameroon,Yaounde 2,2021,208438,45.44,176100,38.39,47852,10.43,21457,4.68,4890,1.07,0,458737,106777,159837
cameroon,Yaounde 3,2021,141963,48.82,109668,37.72,26470,9.1,8970,3.09,3696,1.27,0,290767,69038,117317
cameroon,Yaounde 4,2021,202495,41.48,204139,41.82,54064,11.08,20950,4.29,6499,1.33,0,488146,115134,174582
cameroon,Yaounde 5,2021,66332,44.36,62406,41.73,13837,9.25,4798,3.21,2158,1.44,0,149531,35219,56959
cameroon,Yaounde 6,2021,125086,45.73,99991,36.55,28740,10.51,14717,5.38,5021,1.84,0,273556,64486,88917
cameroon,Yaounde 7,2021,65915,41.9,65997,41.95,15621,9.93,6853,4.36,2947,1.87,0,157332,35850,54044
cameroon,Yaounde 1,2022,509429,44.68,447323,39.24,111097,9.74,51586,4.52,20656,1.81,0,1140092,263169,391981
cameroon,Yaounde 2,2022,195323,40.59,204445,42.48,53691,11.16,19611,4.07,8193,1.7,0,481263,114396,152337
cameroon,Yaounde 3,2022,129085,42.32,132133,43.32,26347,8.64,11700,3.84,5780,1.89,0,305045,72436,99208
cameroon,Yaounde 4,2022,238159,46.5,197037,38.48,44539,8.7,23627,4.61,8755,1.71,0,512116,118103,185937
cameroon,Yaounde 5,2022,66611,42.46,64255,40.96,17608,11.22,5459,3.48,2941,1.87,0,156874,36224,55709
cameroon,Yaounde 6,2022,126690,44.14,114699,39.97,27989,9.75,13805,4.81,3807,1.33,0,286989,67357,111875
cameroon,Yaounde 7,2022,69067,41.84,69189,41.92,16578,10.04,7269,4.4,2955,1.79,0,165058,39099,58681
cameroon,Yaounde 1,2023,459283,38.91,511370,43.32,135312,11.46,56817,4.81,17742,1.5,0,1180524,278116,384699
cameroon,Yaounde 2,2023,219445,44.04,197580,39.65,55309,11.1,20040,4.02,5956,1.2,0,498330,115507,167211
cameroon,Yaounde 3,2023,147909,46.83,114371,36.21,34115,10.8,16187,5.12,3281,1.04,0,315863,75054,113526
cameroon,Yaounde 4,2023,224054,42.25,214924,40.53,56202,10.6,26827,5.06,8270,1.56,0,530277,122839,174575
cameroon,Yaounde 5,2023,74859,46.08,59564,36.67,18032,11.1,7540,4.64,2443,1.5,0,162437,37460,63470
cameroon,Yaounde 6,2023,124856,42.02,129312,43.52,25244,8.49,11610,3.91,6145,2.07,0,297167,70579,107632
cameroon,Yaounde 7,2023,67369,39.42,73884,43.23,17509,10.24,9668,5.66,2483,1.45,0,170912,39280,50145
cameroon,Yaounde 1,2024,542885,44.04,505276,40.99,123434,10.01,38781,3.15,22438,1.82,0,1232815,283499,426228
cameroon,Yaounde 2,2024,233466,44.86,206264,39.64,47592,9.15,27416,5.27,5665,1.09,0,520403,118801,198265
cameroon,Yaounde 3,2024,153294,46.47,121068,36.7,34591,10.49,15426,4.68,5476,1.66,0,329854,77017,133507
cameroon,Yaounde 4,2024,241906,43.68,231025,41.72,47965,8.66,21345,3.85,11524,2.08,0,553765,129360,181933
cameroon,Yaounde 5,2024,77065,45.43,66633,39.28,18134,10.69,5101,3.01,2699,1.59,0,169632,40303,60258
cameroon,Yaounde 6,2024,127630,41.13,128864,41.52,38008,12.25,11906,3.84,3922,1.26,0,310330,72354,112085
cameroon,Yaounde 7,2024,72055,40.37,73634,41.26,21034,11.78,8639,4.84,3121,1.75,0,178482,41617,50767
