country,zone,date,households,tests_chlorine,tests_ecoli,tests_conducted_chlorine,test_conducted_ecoli,test_passed_chlorine,tests_passed_ecoli,w_supplied,total_consumption,metered,ww_capacity
cameroon,Yaounde 1,Jan-20,245721,100,200,81,196,74,174,491565,1059717,245411,48438
cameroon,Yaounde 1,Feb-20,245721,100,150,94,112,76,93,261948,654807,216077,51539
cameroon,Yaounde 1,Mar-20,245721,100,200,78,171,75,139,113356,228062,228774,25017
cameroon,Yaounde 1,Apr-20,245721,100,200,78,177,77,146,254157,521828,269875,17181
cameroon,Yaounde 1,May-20,245721,100,150,85,117,75,113,161079,325266,280167,57865
cameroon,Yaounde 1,Jun-20,245721,200,100,189,72,162,68,336977,729761,218229,55242
cameroon,Yaounde 1,Jul-20,245721,100,150,74,113,74,106,279483,605953,278441,5836
cameroon,Yaounde 1,Aug-20,245721,150,200,108,198,99,193,108425,244760,249537,21486
cameroon,Yaounde 1,Sep-20,245721,200,100,154,92,141,77,354023,815648,277657,66702
cameroon,Yaounde 1,Oct-20,245721,100,200,86,180,77,176,208256,502913,220263,64405
cameroon,Yaounde 1,Nov-20,245721,100,150,86,113,84,97,160583,382544,291869,63665
cameroon,Yaounde 1,Dec-20,245721,200,100,167,76,137,69,176475,356907,249939,30028
cameroon,Yaounde 1,Jan-21,255602,200,100,145,71,131,57,192801,446994,247850,36607
cameroon,Yaounde 1,Feb-21,255602,100,100,93,78,86,76,129253,296736,264286,9885
cameroon,Yaounde 1,Mar-21,255602,150,200,130,163,118,133,461963,988274,227357,35695
cameroon,Yaounde 1,Apr-21,255602,200,150,147,139,134,130,324607,697164,212271,31531
cameroon,Yaounde 1,May-21,255602,150,100,127,82,102,78,162662,373440,221501,37014
cameroon,Yaounde 1,Jun-21,255602,150,150,144,112,123,101,238411,540668,216765,10214
cameroon,Yaounde 1,Jul-21,255602,150,150,127,117,109,103,232882,557980,202691,11518
cameroon,Yaounde 1,Aug-21,255602,200,200,190,181,184,152,387872,779371,250808,28397
cameroon,Yaounde 1,Sep-21,255602,100,100,95,96,95,87,326953,766553,242140,60663
cameroon,Yaounde 1,Oct-21,255602,200,150,191,140,156,119,174786,400613,274322,35395
cameroon,Yaounde 1,Nov-21,255602,150,100,136,77,126,63,293350,708027,267339,50731
cameroon,Yaounde 1,Dec-21,255602,100,100,71,70,68,68,164227,329639,289655,45366
cameroon,Yaounde 1,Jan-22,263169,200,100,186,95,163,78,236020,502780,252140,17484
cameroon,Yaounde 1,Feb-22,263169,100,150,87,123,71,108,330928,689812,236534,47058
cameroon,Yaounde 1,Mar-22,263169,200,150,152,110,134,105,479328,1122767,278015,11888
cameroon,Yaounde 1,Apr-22,263169,200,150,161,119,150,107,285278,572637,278399,63427
cameroon,Yaounde 1,May-22,263169,150,150,133,119,112,105,202818,409800,295791,62601
cameroon,Yaounde 1,Jun-22,263169,200,150,195,110,195,108,488384,1147388,286597,72274
cameroon,Yaounde 1,Jul-22,263169,100,100,92,92,77,91,197855,445383,248915,24660
cameroon,Yaounde 1,Aug-22,263169,150,150,135,113,130,99,326069,767727,299790,63642
cameroon,Yaounde 1,Sep-22,263169,200,200,161,167,153,134,174261,429213,248700,70115
cameroon,Yaounde 1,Oct-22,263169,100,150,89,135,84,134,268311,621807,318356,22938
cameroon,Yaounde 1,Nov-22,263169,150,150,110,129,92,116,451147,1009569,260059,92334
cameroon,Yaounde 1,Dec-22,263169,100,100,90,75,73,74,209278,518966,298309,74528
cameroon,Yaounde 1,Jan-23,278116,100,100,86,99,79,91,202298,437847,327842,25420
cameroon,Yaounde 1,Feb-23,278116,200,150,160,130,155,118,142470,289407,329259,36456
cameroon,Yaounde 1,Mar-23,278116,100,100,90,88,89,81,123541,300936,265168,15198
cameroon,Yaounde 1,Apr-23,278116,150,150,134,112,107,103,484052,1174770,293253,12418
cameroon,Yaounde 1,May-23,278116,200,200,140,196,131,172,394461,838452,293249,89000
cameroon,Yaounde 1,Jun-23,278116,100,200,85,195,76,191,101805,233426,326163,26314
cameroon,Yaounde 1,Jul-23,278116,100,200,75,145,60,139,488997,1182395,332667,16382
cameroon,Yaounde 1,Aug-23,278116,100,100,70,82,58,73,326261,751266,335155,39717
cameroon,Yaounde 1,Sep-23,278116,200,100,148,71,125,57,109298,255816,248055,49685
cameroon,Yaounde 1,Oct-23,278116,150,200,150,158,137,153,129906,260525,274666,48514
cameroon,Yaounde 1,Nov-23,278116,150,100,140,98,135,80,190646,409773,245023,10178
cameroon,Yaounde 1,Dec-23,278116,150,150,139,106,132,98,269114,637601,291542,48917
cameroon,Yaounde 1,Jan-24,283499,100,150,72,131,64,123,302945,751854,342452,79185
cameroon,Yaounde 1,Feb-24,283499,150,100,137,86,130,72,473217,1089238,328615,29376
cameroon,Yaounde 1,Mar-24,283499,100,200,74,146,61,128,260217,647719,376093,12845
cameroon,Yaounde 1,Apr-24,283499,100,200,75,168,74,140,128171,284034,355631,82537
cameroon,Yaounde 1,May-24,283499,200,100,145,95,144,81,430815,936120,331723,69118
cameroon,Yaounde 1,Jun-24,283499,200,150,194,119,173,108,496917,1163104,318196,100741
cameroon,Yaounde 1,Jul-24,283499,150,100,107,97,106,94,303012,732489,321706,73942
cameroon,Yaounde 1,Aug-24,283499,200,150,181,141,153,140,293358,704477,378650,65041
cameroon,Yaounde 1,Sep-24,283499,200,100,167,78,151,75,163743,382975,376057,19246
cameroon,Yaounde 1,Oct-24,283499,100,200,81,155,76,125,261495,601167,309740,41468
cameroon,Yaounde 1,Nov-24,283499,100,150,98,113,97,103,419538,918510,368251,31867
cameroon,Yaounde 1,Dec-24,283499,200,100,140,89,130,73,483811,1178039,336219,89624
cameroon,Yaounde 2,Jan-20,102592,100,150,78,146,73,122,492725,1202646,107004,7811
cameroon,Yaounde 2,Feb-20,102592,150,100,120,73,110,65,277424,665482,141865,26693
cameroon,Yaounde 2,Mar-20,102592,100,150,76,141,68,115,108806,262080,139556,15353
cameroon,Yaounde 2,Apr-20,102592,150,200,145,160,126,137,468167,1075705,142173,5357
