country,city,date,sewer_length,complaints,resolved,blocks,sewer_billed,sewer_revenue,opex,san_staff,w_staff,propoor_popn
lesotho,Maseru,Jan-20,169,185,181,106,540000000,496096365,14226000000,222,272,15818
lesotho,Maseru,Feb-20,169,228,217,80,422000000,351387207,15727000000,242,215,26151
lesotho,Maseru,Mar-20,169,249,240,51,519000000,430056835,8578000000,224,233,8413
lesotho,Maseru,Apr-20,169,437,420,82,471000000,445291533,14759000000,280,176,24207
lesotho,Maseru,May-20,169,378,329,105,350000000,273943838,15160000000,275,288,15569
lesotho,Maseru,Jun-20,169,215,214,107,410000000,362442562,14156000000,239,190,10409
lesotho,Maseru,Jul-20,169,183,175,77,381000000,316986011,8100000000,214,281,15159
lesotho,Maseru,Aug-20,169,323,281,78,358000000,284295364,14648000000,292,268,20394
lesotho,Maseru,Sep-20,169,241,208,52,403000000,317259527,11767000000,261,154,17351
lesotho,Maseru,Oct-20,169,266,241,82,498000000,471076426,14075000000,227,211,12603
lesotho,Maseru,Nov-20,169,427,407,88,412000000,312378044,11322000000,300,179,31160
lesotho,Maseru,Dec-20,169,641,620,63,361000000,287568636,12421000000,236,290,19929
lesotho,Maseru,Jan-21,111,537,471,30,456000000,389199275,8203000000,274,196,18020
lesotho,Maseru,Feb-21,111,592,581,50,433000000,349355409,8046000000,200,204,11491
lesotho,Maseru,Mar-21,111,630,595,30,545000000,516893943,12143000000,267,278,21061
lesotho,Maseru,Apr-21,111,336,327,105,542000000,425581652,8743000000,229,262,19548
lesotho,Maseru,May-21,111,206,178,97,370000000,295736514,14645000000,222,220,26615
lesotho,Maseru,Jun-21,111,340,337,54,417000000,360967848,14527000000,212,199,29999
lesotho,Maseru,Jul-21,111,588,506,110,421000000,328183829,9989000000,254,166,12165
lesotho,Maseru,Aug-21,111,394,341,74,476000000,402320588,11740000000,240,231,23059
lesotho,Maseru,Sep-21,111,434,422,57,391000000,352378344,13815000000,208,240,24293
lesotho,Maseru,Oct-21,111,426,377,105,350000000,319600802,9493000000,286,258,10363
lesotho,Maseru,Nov-21,111,372,332,95,422000000,398314195,8263000000,269,240,26139
lesotho,Maseru,Dec-21,111,300,260,68,547000000,507193092,15260000000,211,257,19782
lesotho,Maseru,Jan-22,158,268,242,40,482000000,372070860,11830000000,252,161,32145
lesotho,Maseru,Feb-22,158,228,197,91,477000000,430702377,14746000000,284,248,14200
lesotho,Maseru,Mar-22,158,538,486,48,533000000,419511544,12494000000,258,217,31120
lesotho,Maseru,Apr-22,158,514,443,75,513000000,448889665,8959000000,241,299,36067
lesotho,Maseru,May-22,158,473,423,30,451000000,348119578,11916000000,216,184,7552
lesotho,Maseru,Jun-22,158,569,529,76,429000000,340146741,12994000000,235,232,32850
lesotho,Maseru,Jul-22,158,229,213,50,475000000,391554151,13678000000,238,201,14559
lesotho,Maseru,Aug-22,158,317,301,31,530000000,440575826,12944000000,279,242,17209
lesotho,Maseru,Sep-22,158,571,522,74,500000000,379600485,15727000000,271,244,31934
lesotho,Maseru,Oct-22,158,635,597,51,417000000,362770230,14089000000,264,221,21655
lesotho,Maseru,Nov-22,158,448,434,81,534000000,409130055,10834000000,239,180,16780
lesotho,Maseru,Dec-22,158,342,332,67,506000000,420976534,14655000000,282,252,29697
lesotho,Maseru,Jan-23,191,635,617,110,532000000,434119728,13565000000,239,188,34210
lesotho,Maseru,Feb-23,191,506,500,45,544000000,444805771,13815000000,265,246,12838
lesotho,Maseru,Mar-23,191,428,402,89,466000000,403587964,10875000000,231,296,35958
lesotho,Maseru,Apr-23,191,556,547,94,397000000,351183996,15577000000,207,268,19351
lesotho,Maseru,May-23,191,261,233,53,410000000,315148305,8680000000,287,231,30031
lesotho,Maseru,Jun-23,191,508,471,91,482000000,442618440,12144000000,242,278,19344
lesotho,Maseru,Jul-23,191,457,400,47,384000000,295052800,13057000000,213,207,13579
lesotho,Maseru,Aug-23,191,420,405,48,382000000,342457609,10868000000,269,258,23839
lesotho,Maseru,Sep-23,191,574,516,71,366000000,275078404,10029000000,219,285,24046
lesotho,Maseru,Oct-23,191,519,476,109,491000000,384031845,15911000000,288,198,19741
lesotho,Maseru,Nov-23,191,390,375,96,459000000,386503500,15713000000,259,215,25546
lesotho,Maseru,Dec-23,191,324,313,105,533000000,440356113,12274000000,243,258,8130
lesotho,Maseru,Jan-24,138,379,340,92,498000000,401278987,12341000000,241,289,30992
lesotho,Maseru,Feb-24,138,571,520,52,502000000,417731167,10892000000,225,272,36601
lesotho,Maseru,Mar-24,138,610,522,91,381000000,325313032,12025000000,239,150,32257
lesotho,Maseru,Apr-24,138,391,358,37,536000000,489735928,9737000000,230,154,11303
lesotho,Maseru,May-24,138,483,453,76,494000000,453636541,14893000000,285,276,31586
lesotho,Maseru,Jun-24,138,304,302,45,532000000,461006437,9052000000,217,217,37508
lesotho,Maseru,Jul-24,138,187,186,85,403000000,303764123,15742000000,218,257,9988
lesotho,Maseru,Aug-24,138,589,501,30,409000000,360253515,9288000000,285,264,32370
lesotho,Maseru,Sep-24,138,455,393,110,528000000,459929924,13212000000,222,159,20690
lesotho,Maseru,Oct-24,138,321,281,74,484000000,441207631,11378000000,241,160,19935
lesotho,Maseru,Nov-24,138,284,279,106,459000000,389431922,14147000000,251,155,29937
lesotho,Maseru,Dec-24,138,490,452,88,423000000,358348184,14062000000,235,178,19963
