country,zone,date,households,sewer_connections,public_toilets,workforce,f_workforce,ww_collected,ww_treated,ww_reused,w_supplied,hh_emptied,fs_treated,fs_reused
lesotho,Maseru Rural Council,Jan-20,13563,538,26,38,17,27752,21170,11439,435021,4523,75142,44975
lesotho,Maseru Rural Council,Feb-20,13563,538,23,35,16,63185,47429,33558,316268,3625,79258,55215
lesotho,Maseru Rural Council,Mar-20,13563,538,27,35,15,7296,4113,2199,457837,3823,60688,44724
lesotho,Maseru Rural Council,Apr-20,13563,538,27,38,16,63711,44079,24978,230776,4354,82543,44304
lesotho,Maseru Rural Council,May-20,13563,538,28,37,15,26411,14938,8673,297898,3597,47092,36393
lesotho,Maseru Rural Council,Jun-20,13563,538,24,38,17,55055,32365,18591,127081,3461,133853,107218
lesotho,Maseru Rural Council,Jul-20,13563,538,24,36,15,16377,10620,5629,179767,4574,41465,22189
lesotho,Maseru Rural Council,Aug-20,13563,538,27,37,15,10605,6712,4188,373527,4016,89595,65302
lesotho,Maseru Rural Council,Sep-20,13563,538,27,37,14,95697,57320,42100,167723,4218,68361,36777
lesotho,Maseru Rural Council,Oct-20,13563,538,28,38,14,16723,11105,8649,449185,2715,135317,108784
lesotho,Maseru Rural Council,Nov-20,13563,538,26,36,17,79210,55829,37748,172118,4606,39921,27166
lesotho,Maseru Rural Council,Dec-20,13563,538,26,38,16,22069,13687,9450,437931,3204,119924,77312
lesotho,Maseru Rural Council,Jan-21,13807,655,19,23,12,36557,28176,14360,311500,3623,87895,49552
lesotho,Maseru Rural Council,Feb-21,13807,655,20,22,11,53470,29756,19505,379500,4446,78719,56812
lesotho,Maseru Rural Council,Mar-21,13807,655,18,24,14,78653,52794,38423,412371,4188,38716,20870
lesotho,Maseru Rural Council,Apr-21,13807,655,22,22,11,68908,36949,18853,392174,3981,34617,28734
lesotho,Maseru Rural Council,May-21,13807,655,23,23,14,97868,60906,41600,181690,3973,143592,73619
lesotho,Maseru Rural Council,Jun-21,13807,655,21,24,15,54913,36408,18786,126343,3097,95436,63034
