country,city,date,sewer_length,complaints,resolved,blocks,sewer_billed,sewer_revenue,opex,san_staff,w_staff,propoor_popn
malawi,Lilongwe,Jan-20,166,386,356,125,452000000,378106953,13916000000,205,229,62626
malawi,Lilongwe,Feb-20,166,370,333,143,494000000,400707523,9741000000,297,282,70505
malawi,Lilongwe,Mar-20,166,541,468,143,582000000,480502633,15232000000,281,260,64717
malawi,Lilongwe,Apr-20,166,464,448,140,616000000,436369903,13148000000,356,306,112154
malawi,Lilongwe,May-20,166,365,358,116,553000000,449559013,15813000000,282,279,34583
malawi,Lilongwe,Jun-20,166,527,468,109,569000000,433807865,12648000000,252,339,110533
malawi,Lilongwe,Jul-20,166,430,415,127,575000000,496036039,13054000000,312,323,97601
malawi,Lilongwe,Aug-20,166,610,455,143,614000000,493677475,11843000000,359,353,102260
malawi,Lilongwe,Sep-20,166,586,583,148,594000000,479537455,9854000000,291,366,39963
malawi,Lilongwe,Oct-20,166,422,344,146,634000000,528091791,13754000000,365,331,56583
malawi,Lilongwe,Nov-20,166,569,414,138,632000000,466823533,15988000000,222,331,87035
malawi,Lilongwe,Dec-20,166,402,368,109,543000000,423416855,11986000000,369,340,84739
malawi,Lilongwe,Jan-21,197,580,526,121,504000000,355354831,8257000000,365,359,30839
malawi,Lilongwe,Feb-21,197,437,367,146,601000000,511744444,11140000000,253,281,103152
malawi,Lilongwe,Mar-21,197,426,394,128,556000000,391714473,13274000000,353,334,91217
malawi,Lilongwe,Apr-21,197,376,299,135,563000000,520732871,12717000000,371,288,37270
malawi,Lilongwe,May-21,197,429,352,133,533000000,392898234,10361000000,276,269,108617
malawi,Lilongwe,Jun-21,197,513,511,125,525000000,459661993,13095000000,251,265,33704
malawi,Lilongwe,Jul-21,197,336,290,143,625000000,545843162,11265000000,351,354,84943
malawi,Lilongwe,Aug-21,197,607,562,116,550000000,396082917,14580000000,232,236,26158
malawi,Lilongwe,Sep-21,197,638,580,132,517000000,469804187,11342000000,274,347,88241
malawi,Lilongwe,Oct-21,197,621,537,131,622000000,466616391,9228000000,376,369,83917
malawi,Lilongwe,Nov-21,197,395,322,115,630000000,569602015,13225000000,206,376,111648
malawi,Lilongwe,Dec-21,197,514,413,118,620000000,478910169,12041000000,265,204,62712
malawi,Lilongwe,Jan-22,156,524,424,148,563000000,483633895,10274000000,280,313,74507
malawi,Lilongwe,Feb-22,156,662,519,120,640000000,578876553,11459000000,244,356,70700
malawi,Lilongwe,Mar-22,156,490,484,132,584000000,547022614,8225000000,304,358,115995
malawi,Lilongwe,Apr-22,156,613,477,146,552000000,436351222,9059000000,260,386,24510
malawi,Lilongwe,May-22,156,471,402,121,585000000,477611462,15085000000,383,397,35913
malawi,Lilongwe,Jun-22,156,529,481,126,593000000,493081999,9830000000,243,357,82623
malawi,Lilongwe,Jul-22,156,476,430,142,480000000,341913334,8166000000,250,257,96435
malawi,Lilongwe,Aug-22,156,452,450,116,644000000,460319302,13735000000,240,316,24870
malawi,Lilongwe,Sep-22,156,357,285,147,483000000,377845046,10611000000,229,390,27663
malawi,Lilongwe,Oct-22,156,623,534,118,640000000,589432161,13894000000,221,272,96174
malawi,Lilongwe,Nov-22,156,609,429,148,639000000,460561414,8140000000,308,228,26455
malawi,Lilongwe,Dec-22,156,577,440,125,466000000,338065778,13422000000,312,240,25691
malawi,Lilongwe,Jan-23,171,645,469,100,509000000,406690499,9111000000,333,358,89289
malawi,Lilongwe,Feb-23,171,597,498,117,475000000,422063325,14088000000,252,366,28936
malawi,Lilongwe,Mar-23,171,564,452,114,616000000,530005003,14082000000,244,321,111250
malawi,Lilongwe,Apr-23,171,688,566,111,533000000,412794624,14824000000,251,323,85100
malawi,Lilongwe,May-23,171,304,289,133,621000000,577261576,15459000000,286,265,111970
malawi,Lilongwe,Jun-23,171,486,359,116,603000000,547200401,13255000000,229,354,36071
malawi,Lilongwe,Jul-23,171,482,342,147,616000000,480424423,14044000000,295,364,104923
malawi,Lilongwe,Aug-23,171,648,503,129,558000000,438953490,11499000000,216,208,63445
malawi,Lilongwe,Sep-23,171,642,539,147,559000000,467622572,15459000000,228,392,28086
malawi,Lilongwe,Oct-23,171,594,437,140,581000000,414391372,15434000000,264,344,109009
malawi,Lilongwe,Nov-23,171,617,515,123,620000000,495083885,13623000000,256,305,64227
malawi,Lilongwe,Dec-23,171,555,449,118,539000000,456201127,13020000000,274,343,103396
malawi,Lilongwe,Jan-24,100,311,281,119,540000000,379778638,11868000000,274,251,110204
malawi,Lilongwe,Feb-24,100,499,468,113,641000000,455538077,10636000000,335,320,109551
malawi,Lilongwe,Mar-24,100,432,348,148,477000000,410487449,14937000000,227,245,110512
malawi,Lilongwe,Apr-24,100,390,356,127,552000000,433699765,8448000000,257,247,55409
malawi,Lilongwe,May-24,100,313,242,140,621000000,527736546,14012000000,213,336,97335
malawi,Lilongwe,Jun-24,100,651,530,110,472000000,372697805,10492000000,272,288,32809
malawi,Lilongwe,Jul-24,100,476,443,135,492000000,365649596,13424000000,226,208,87343
malawi,Lilongwe,Aug-24,100,550,518,107,499000000,408104506,15666000000,320,361,79671
malawi,Lilongwe,Sep-24,100,432,426,114,487000000,424688004,8309000000,370,232,92926
malawi,Lilongwe,Oct-24,100,675,487,126,590000000,510436330,8733000000,321,358,128531
malawi,Lilongwe,Nov-24,100,532,530,135,567000000,468056496,14035000000,296,365,73274
malawi,Lilongwe,Dec-24,100,573,476,139,562000000,515533225,9883000000,251,385,125915
