country,zone,year,safely_managed,safely_managed_pct,basic,basic_pct,limited,limited_pct,unimproved,unimproved_pct,open_def,open_def_pct,other_pct,popn_total,households
malawi,Capital Hill,2020,95971,21.5,137449,30.79,97683,21.88,86402,19.35,28959,6.49,0,446463,103168
malawi,Capital Hill,2021,125984,27.04,146350,31.41,91065,19.54,80733,17.32,21868,4.69,0,465999,107366
malawi,Capital Hill,2022,134611,27.64,136409,28.01,113214,23.25,80533,16.54,22182,4.56,0,486949,113513
malawi,Capital Hill,2023,137235,27.61,165349,33.26,85843,17.27,88251,17.75,20398,4.1,0,497075,117853
malawi,Capital Hill,2024,138150,26.66,155144,29.94,119896,23.14,74540,14.39,30430,5.87,0,518160,122297
malawi,Kanengo,2020,11198,29.24,11563,30.2,8321,21.73,5936,15.5,1272,3.32,0,38290,8795
malawi,Kanengo,2021,8988,22.49,11602,29.03,9870,24.7,7596,19.01,1909,4.78,0,39965,9270
malawi,Kanengo,2022,12565,30.09,11916,28.53,7306,17.49,8019,19.2,1956,4.68,0,41762,9611
malawi,Kanengo,2023,9111,21.37,12398,29.08,10635,24.95,7842,18.39,2644,6.2,0,42630,9693
malawi,Kanengo,2024,9613,21.63,12410,27.93,10658,23.98,8776,19.75,2981,6.71,0,44438,10312
malawi,Lumbadzi,2020,3529,23.6,4556,30.47,3265,21.83,2811,18.8,792,5.3,0,14953,3474
malawi,Lumbadzi,2021,4762,30.51,4677,29.97,2813,18.02,2610,16.72,744,4.77,0,15607,3679
malawi,Lumbadzi,2022,3857,23.65,4180,25.63,4043,24.79,3221,19.75,1007,6.17,0,16309,3707
malawi,Lumbadzi,2023,3768,22.64,4947,29.71,3864,23.21,3191,19.17,878,5.27,0,16648,3792
malawi,Lumbadzi,2024,3792,21.85,5873,33.84,3101,17.87,3281,18.91,1306,7.53,0,17354,4100
malawi,Old Town,2020,174916,28.11,211907,34.05,95544,15.35,111557,17.93,28371,4.56,0,622294,147839
malawi,Old Town,2021,175580,27.03,180863,27.85,149637,23.04,109823,16.91,33621,5.18,0,649524,149260
malawi,Old Town,2022,177746,26.19,190016,28,160399,23.63,107775,15.88,42788,6.3,0,678724,158220
malawi,Old Town,2023,197703,28.54,223755,32.3,108491,15.66,127949,18.47,34939,5.04,0,692838,157543
malawi,Old Town,2024,202184,27.99,184944,25.61,170794,23.65,133249,18.45,31057,4.3,0,722227,166227
