country,zone,date,households,sewer_connections,public_toilets,workforce,f_workforce,ww_collected,ww_treated,ww_reused,w_supplied,hh_emptied,fs_treated,fs_reused
malawi,Capital Hill,Jan-20,103168,5786,96,35,11,84885,55654,31833,466397,15683,57238,37758
malawi,Capital Hill,Feb-20,103168,5786,97,32,9,16045,8126,4832,367683,28276,41450,22175
malawi,Capital Hill,Mar-20,103168,5786,96,33,8,90200,51938,27337,323820,35781,40256,21608
malawi,Capital Hill,Apr-20,103168,5786,99,35,8,53508,28567,20796,258841,31845,40663,21650
malawi,Capital Hill,May-20,103168,5786,94,34,11,90988,54759,37799,486099,32064,62485,33799
malawi,Capital Hill,Jun-20,103168,5786,98,32,9,43744,27466,16560,440759,17308,72508,41918
malawi,Capital Hill,Jul-20,103168,5786,99,34,10,75325,51001,37359,421817,25364,46833,25509
malawi,Capital Hill,Aug-20,103168,5786,95,32,7,70144,37784,22830,131752,16000,14262,9165
malawi,Capital Hill,Sep-20,103168,5786,99,35,7,45565,27684,16960,198848,20477,105116,64249
malawi,Capital Hill,Oct-20,103168,5786,98,32,7,70780,51824,38173,130752,20722,42872,24670
malawi,Capital Hill,Nov-20,103168,5786,94,35,8,16570,9336,5089,122897,28229,12858,8419
malawi,Capital Hill,Dec-20,103168,5786,97,35,7,78846,58125,29732,175311,34839,10523,5935
malawi,Capital Hill,Jan-21,107366,5194,70,32,12,28171,21084,13847,422544,18113,89425,54417
malawi,Capital Hill,Feb-21,107366,5194,70,31,9,51376,36880,19901,204265,22177,7947,4158
malawi,Capital Hill,Mar-21,107366,5194,70,32,9,36259,23943,15588,434727,22089,86768,51033
malawi,Capital Hill,Apr-21,107366,5194,70,30,11,15451,9993,5586,410022,33426,65762,34505
malawi,Capital Hill,May-21,107366,5194,73,32,13,26386,13726,7232,130610,23844,16634,9105
malawi,Capital Hill,Jun-21,107366,5194,75,30,10,37896,22586,17578,388067,19777,115178,76871
malawi,Capital Hill,Jul-21,107366,5194,73,30,12,50325,25652,13922,342094,34862,104113,64986
malawi,Capital Hill,Aug-21,107366,5194,71,29,11,40011,29745,17457,394861,23395,113299,65037
malawi,Capital Hill,Sep-21,107366,5194,71,30,10,30019,17956,14081,116375,28294,10204,6517
malawi,Capital Hill,Oct-21,107366,5194,75,32,10,73835,51662,36977,239187,25812,80795,49577
malawi,Capital Hill,Nov-21,107366,5194,75,32,13,24462,12709,8839,263724,31373,67202,47012
malawi,Capital Hill,Dec-21,107366,5194,72,31,11,74612,55540,31337,449893,33855,106548,72253
malawi,Capital Hill,Jan-22,113513,5311,29,38,10,66651,40465,30684,203183,36258,104898,57306
malawi,Capital Hill,Feb-22,113513,5311,26,38,11,93052,47063,30822,368472,24780,74749,42302
malawi,Capital Hill,Mar-22,113513,5311,27,35,12,34479,25147,14303,417976,18765,30206,15119
malawi,Capital Hill,Apr-22,113513,5311,31,36,13,56888,31475,19677,280093,17849,23703,16482
malawi,Capital Hill,May-22,113513,5311,31,36,12,12090,7085,4165,327307,20431,44171,25300
malawi,Capital Hill,Jun-22,113513,5311,27,37,11,5095,3130,2035,298397,29924,58107,38601
malawi,Capital Hill,Jul-22,113513,5311,27,35,13,91364,51751,35894,140837,24624,115710,69423
malawi,Capital Hill,Aug-22,113513,5311,29,37,9,60321,39228,22494,482696,18523,76884,40655
malawi,Capital Hill,Sep-22,113513,5311,30,35,12,61627,44357,23696,136572,32549,107496,55843
malawi,Capital Hill,Oct-22,113513,5311,26,38,11,44697,22832,16845,389385,35705,75561,43593
malawi,Capital Hill,Nov-22,113513,5311,27,38,11,27950,18466,12076,162994,36435,84236,48958
malawi,Capital Hill,Dec-22,113513,5311,28,35,10,38375,26657,19644,406750,23450,95634,60690
malawi,Capital Hill,Jan-23,117853,6103,18,20,6,5038,2623,1620,308066,29386,98763,51506
malawi,Capital Hill,Feb-23,117853,6103,21,19,7,32806,19605,14484,484372,20074,86213,55109
malawi,Capital Hill,Mar-23,117853,6103,21,19,5,56680,39272,30974,278939,19931,103487,63041
malawi,Capital Hill,Apr-23,117853,6103,19,21,7,42268,30099,21442,112216,27428,61749,38114
malawi,Capital Hill,May-23,117853,6103,22,20,7,57496,44678,32154,122690,18047,30830,19119
malawi,Capital Hill,Jun-23,117853,6103,21,19,3,56291,39336,24056,470447,30718,92152,52682
malawi,Capital Hill,Jul-23,117853,6103,19,19,4,58531,45569,30869,383121,28594,52649,26976
malawi,Capital Hill,Aug-23,117853,6103,19,21,3,12858,7898,3994,176013,20267,14605,8296
malawi,Capital Hill,Sep-23,117853,6103,20,20,3,86045,50221,37111,311725,30332,18640,11631
malawi,Capital Hill,Oct-23,117853,6103,17,19,3,69810,48922,27270,347679,29628,106536,68643
malawi,Capital Hill,Nov-23,117853,6103,19,18,3,17189,10500,6553,328319,28308,46435,27520
malawi,Capital Hill,Dec-23,117853,6103,19,20,6,30374,22806,17772,425045,36825,111733,76229
malawi,Capital Hill,Jan-24,122297,4169,102,32,11,69936,37695,22344,247823,39522,20635,13528
malawi,Capital Hill,Feb-24,122297,4169,99,33,11,12856,7037,3742,494533,39431,106716,64360
malawi,Capital Hill,Mar-24,122297,4169,100,32,8,98443,72137,39367,196741,37769,86155,54761
malawi,Capital Hill,Apr-24,122297,4169,100,32,9,75248,44776,34416,436296,29887,28817,15521
malawi,Capital Hill,May-24,122297,4169,100,32,10,7475,5526,3757,130459,20977,19750,13717
malawi,Capital Hill,Jun-24,122297,4169,97,34,10,78707,51909,33466,214198,22575,59718,35183
malawi,Capital Hill,Jul-24,122297,4169,99,32,10,44871,23103,17198,228859,33337,61352,33243
