country,zone,year,safely_managed,safely_managed_pct,basic,basic_pct,limited,limited_pct,unimproved,unimproved_pct,surface_water,surface_water_pct,other_pct,popn_total,households,municipal_coverage
malawi,Capital Hill,2020,51072,11.44,281576,63.07,66936,14.99,31499,7.06,15380,3.44,0,446463,103168,37741
malawi,Capital Hill,2021,69773,14.97,286289,61.44,67676,14.52,29477,6.33,12784,2.74,0,465999,107366,53769
malawi,Capital Hill,2022,53406,10.97,318205,65.35,69830,14.34,26873,5.52,18636,3.83,0,486949,113513,45615
malawi,Capital Hill,2023,64554,12.99,288364,58.01,74530,14.99,47925,9.64,21702,4.37,0,497075,117853,46807
malawi,Capital Hill,2024,69711,13.45,318018,61.37,73100,14.11,43822,8.46,13508,2.61,0,518160,122297,51699
malawi,Kanengo,2020,3915,10.22,23266,60.76,6018,15.72,3663,9.57,1428,3.73,0,38290,8795,3420
malawi,Kanengo,2021,5142,12.87,25793,64.54,5013,12.54,2957,7.4,1061,2.65,0,39965,9270,3946
malawi,Kanengo,2022,5017,12.01,24395,58.41,6395,15.31,4410,10.56,1545,3.7,0,41762,9611,4233
malawi,Kanengo,2023,4571,10.72,27309,64.06,5932,13.92,3705,8.69,1113,2.61,0,42630,9693,3893
malawi,Kanengo,2024,3980,8.96,29622,66.66,4947,11.13,4654,10.47,1235,2.78,0,44438,10312,2829
malawi,Lumbadzi,2020,1540,10.3,9501,63.54,1911,12.78,1537,10.28,465,3.11,0,14953,3474,1167
malawi,Lumbadzi,2021,1878,12.04,9445,60.52,2183,13.99,1462,9.37,638,4.09,0,15607,3679,1336
malawi,Lumbadzi,2022,1646,10.09,9870,60.52,2708,16.61,1637,10.04,448,2.75,0,16309,3707,1434
malawi,Lumbadzi,2023,1813,10.89,10384,62.38,2166,13.01,1498,9,787,4.73,0,16648,3792,1372
malawi,Lumbadzi,2024,2116,12.19,11050,63.67,2113,12.18,1647,9.49,428,2.47,0,17354,4100,1679
malawi,Old Town,2020,84242,13.54,373256,59.98,84187,13.53,56868,9.14,23742,3.82,0,622294,147839,70177
malawi,Old Town,2021,83763,12.9,386307,59.48,110628,17.03,51652,7.95,17174,2.64,0,649524,149260,71463
malawi,Old Town,2022,88912,13.1,427869,63.04,89015,13.12,46784,6.89,26144,3.85,0,678724,158220,71153
malawi,Old Town,2023,86540,12.49,458505,66.18,77364,11.17,53438,7.71,16990,2.45,0,692838,157543,66918
malawi,Old Town,2024,91519,12.67,471658,65.31,87492,12.11,54890,7.6,16668,2.31,0,722227,166227,71299
