country,zone,date,households,tests_chlorine,tests_ecoli,tests_conducted_chlorine,test_conducted_ecoli,test_passed_chlorine,tests_passed_ecoli,w_supplied,total_consumption,metered,ww_capacity
malawi,Capital Hill,Jan-20,103168,150,100,140,88,126,80,466397,1011107,29931,70608
malawi,Capital Hill,Feb-20,103168,100,150,92,133,76,128,367683,742706,24524,10358
malawi,Capital Hill,Mar-20,103168,200,200,185,163,183,135,323820,714675,26380,63715
malawi,Capital Hill,Apr-20,103168,200,200,141,169,128,150,258841,610857,23070,34924
malawi,Capital Hill,May-20,103168,100,200,78,160,69,152,486099,1105186,30400,67492
malawi,Capital Hill,Jun-20,103168,150,150,135,150,134,149,440759,973046,24566,34356
malawi,Capital Hill,Jul-20,103168,100,100,98,89,94,73,421817,964528,32379,65188
malawi,Capital Hill,Aug-20,103168,100,100,88,70,74,58,131752,299850,31924,46727
malawi,Capital Hill,Sep-20,103168,200,150,193,124,185,104,198848,451359,28092,34921
malawi,Capital Hill,Oct-20,103168,150,100,113,87,107,85,130752,271612,27831,66417
malawi,Capital Hill,Nov-20,103168,200,150,154,142,134,135,122897,272402,26527,11287
malawi,Capital Hill,Dec-20,103168,150,100,129,77,105,70,175311,431638,30371,70243
malawi,Capital Hill,Jan-21,107366,200,150,181,148,167,129,422544,1040718,36313,26565
malawi,Capital Hill,Feb-21,107366,100,100,100,73,84,65,204265,458259,46345,45840
malawi,Capital Hill,Mar-21,107366,150,150,139,140,124,132,434727,990330,34695,30360
malawi,Capital Hill,Apr-21,107366,200,150,157,113,134,111,410022,858812,34057,12582
malawi,Capital Hill,May-21,107366,150,100,150,97,123,96,130610,270990,37590,17132
malawi,Capital Hill,Jun-21,107366,150,200,132,188,110,156,388067,900614,43198,28347
malawi,Capital Hill,Jul-21,107366,200,150,190,107,184,88,342094,801042,40890,32571
malawi,Capital Hill,Aug-21,107366,200,100,165,88,161,73,394861,941238,33111,35735
malawi,Capital Hill,Sep-21,107366,150,150,140,145,133,131,116375,236900,37071,21784
malawi,Capital Hill,Oct-21,107366,100,200,82,145,74,124,239187,546544,47457,65008
malawi,Capital Hill,Nov-21,107366,150,100,127,80,115,80,263724,564845,38239,15464
malawi,Capital Hill,Dec-21,107366,200,100,177,74,149,72,449893,1112543,44824,67284
malawi,Capital Hill,Jan-22,113513,200,150,166,105,140,88,203183,479288,32299,50514
malawi,Capital Hill,Feb-22,113513,200,100,188,74,156,69,368472,752217,37477,58935
malawi,Capital Hill,Mar-22,113513,150,200,137,186,127,176,417976,1027678,36582,30646
malawi,Capital Hill,Apr-22,113513,200,150,170,131,143,105,280093,693813,29166,40213
malawi,Capital Hill,May-22,113513,100,100,94,99,89,84,327307,712895,34095,9065
malawi,Capital Hill,Jun-22,113513,150,150,138,123,125,113,298397,718500,40641,3904
malawi,Capital Hill,Jul-22,113513,150,150,139,142,129,115,140837,341814,40043,65235
malawi,Capital Hill,Aug-22,113513,100,150,74,127,69,106,482696,1011945,30177,48214
malawi,Capital Hill,Sep-22,113513,100,100,76,79,68,70,136572,286388,40029,55753
malawi,Capital Hill,Oct-22,113513,150,200,130,157,119,156,389385,963579,40044,28366
malawi,Capital Hill,Nov-22,113513,150,100,126,97,125,93,162994,348812,30167,22508
malawi,Capital Hill,Dec-22,113513,150,200,111,195,90,192,406750,834082,27473,32331
malawi,Capital Hill,Jan-23,117853,100,100,94,82,83,72,308066,672609,31637,3191
malawi,Capital Hill,Feb-23,117853,100,100,83,81,74,75,484372,1001147,29671,24816
malawi,Capital Hill,Mar-23,117853,150,200,139,145,134,123,278939,604322,33429,50070
malawi,Capital Hill,Apr-23,117853,150,150,123,135,117,119,112216,232093,28438,37090
malawi,Capital Hill,May-23,117853,150,150,136,132,115,122,122690,305591,31538,56409
malawi,Capital Hill,Jun-23,117853,150,200,140,189,112,159,470447,1023339,34627,48554
malawi,Capital Hill,Jul-23,117853,100,100,91,81,77,69,383121,841050,34974,55051
malawi,Capital Hill,Aug-23,117853,200,100,155,75,137,64,176013,435371,28745,9658
malawi,Capital Hill,Sep-23,117853,150,100,149,77,136,77,311725,625413,36812,63061
malawi,Capital Hill,Oct-23,117853,150,200,112,159,97,152,347679,804375,37547,60501
malawi,Capital Hill,Nov-23,117853,150,150,124,145,120,141,328319,676154,30162,13323
malawi,Capital Hill,Dec-23,117853,100,100,84,93,84,89,425045,960532,37423,29643
malawi,Capital Hill,Jan-24,122297,100,100,88,83,86,81,247823,542299,43691,46428
malawi,Capital Hill,Feb-24,122297,150,150,116,141,100,127,494533,1111884,40075,8636
malawi,Capital Hill,Mar-24,122297,150,150,119,115,95,98,196741,463708,33883,91984
malawi,Capital Hill,Apr-24,122297,200,150,161,121,153,105,436296,1085279,35366,53900
malawi,Capital Hill,May-24,122297,200,100,157,81,133,69,130459,285493,31854,6956
malawi,Capital Hill,Jun-24,122297,200,150,146,144,128,132,214198,512591,45013,65516
malawi,Capital Hill,Jul-24,122297,100,100,92,95,81,81,228859,503250,43208,29060
malawi,Capital Hill,Aug-24,122297,150,200,108,161,97,135,135145,313498,44613,40531
malawi,Capital Hill,Sep-24,122297,150,100,130,96,111,86,349287,825208,46140,41082
malawi,Capital Hill,Oct-24,122297,100,100,93,88,86,86,328257,809155,38054,32599
malawi,Capital Hill,Nov-24,122297,200,200,189,194,167,168,181549,400862,42157,47221
malawi,Capital Hill,Dec-24,122297,100,150,82,148,74,120,295733,732987,36965,70226
malawi,Kanengo,Jan-20,8795,150,100,123,95,110,79,258259,564993,3014,21021
malawi,Kanengo,Feb-20,8795,200,150,185,125,157,116,226970,539825,2288,22927
malawi,Kanengo,Mar-20,8795,100,200,80,194,69,174,125648,264554,2405,35919
malawi,Kanengo,Apr-20,8795,100,150,73,144,68,142,194553,431718,3052,66386
malawi,Kanengo,May-20,8795,150,100,118,94,104,84,365448,762713,2438,64069
malawi,Kanengo,Jun-20,8795,150,100,112,79,90,65,117684,247102,2725,76509
malawi,Kanengo,Jul-20,8795,100,100,85,84,73,71,373690,920686,2424,25695
malawi,Kanengo,Aug-20,8795,150,100,148,86,137,73,208272,423950,2193,15054
malawi,Kanengo,Sep-20,8795,100,150,93,119,91,111,466348,1045338,2519,51972
malawi,Kanengo,Oct-20,8795,150,200,120,170,98,157,452837,1097254,2908,31428
malawi,Kanengo,Nov-20,8795,200,150,166,144,150,138,475097,1177798,2680,21978
malawi,Kanengo,Dec-20,8795,100,100,97,78,95,73,387777,882024,3022,42836
malawi,Kanengo,Jan-21,9270,200,150,159,121,131,114,157745,339712,2638,67097
malawi,Kanengo,Feb-21,9270,100,100,77,85,69,74,351843,872373,2612,43791
malawi,Kanengo,Mar-21,9270,100,100,95,90,95,74,165415,354476,2410,66383
malawi,Kanengo,Apr-21,9270,100,100,74,92,66,91,297782,627638,3296,30315
malawi,Kanengo,May-21,9270,200,150,144,129,131,109,344194,725880,3308,28164
malawi,Kanengo,Jun-21,9270,100,150,100,106,92,94,112849,246205,2443,13094
malawi,Kanengo,Jul-21,9270,150,200,136,179,130,167,338130,825780,2641,55593
malawi,Kanengo,Aug-21,9270,150,150,110,135,98,117,435830,1053899,3504,39191
malawi,Kanengo,Sep-21,9270,100,150,85,140,73,121,210777,518616,2960,68530
malawi,Kanengo,Oct-21,9270,150,100,147,85,127,73,284612,667387,3123,75249
malawi,Kanengo,Nov-21,9270,100,150,75,117,73,107,265893,654892,3287,36893
malawi,Kanengo,Dec-21,9270,100,150,98,116,84,109,294519,704088,2851,58547
malawi,Kanengo,Jan-22,9611,100,150,87,141,74,135,448843,1005804,3193,42964
malawi,Kanengo,Feb-22,9611,100,150,80,127,75,106,291166,641502,2586,40547
malawi,Kanengo,Mar-22,9611,200,150,189,142,180,129,277604,571033,3308,48062
malawi,Kanengo,Apr-22,9611,200,150,156,146,142,125,101737,227025,3352,34916
malawi,Kanengo,May-22,9611,200,200,187,190,182,169,370311,842350,2628,19088
malawi,Kanengo,Jun-22,9611,150,200,116,154,96,150,236484,514289,3606,31104
malawi,Kanengo,Jul-22,9611,100,150,76,117,73,100,390421,833430,3694,36196
malawi,Kanengo,Aug-22,9611,150,150,133,123,108,112,425414,977514,3184,71906
malawi,Kanengo,Sep-22,9611,150,100,109,81,91,72,405557,838316,3144,71594
malawi,Kanengo,Oct-22,9611,100,200,96,151,87,135,371968,791190,3354,41082
malawi,Kanengo,Nov-22,9611,100,200,83,150,72,123,327510,717461,2804,78605
malawi,Kanengo,Dec-22,9611,150,100,110,88,106,77,272466,603332,2924,33435
malawi,Kanengo,Jan-23,9693,200,200,164,189,139,173,318661,719948,3358,42264
malawi,Kanengo,Feb-23,9693,150,200,118,199,107,179,435502,969331,3384,68766
malawi,Kanengo,Mar-23,9693,150,150,136,149,123,140,195153,455325,2393,58147
malawi,Kanengo,Apr-23,9693,150,200,112,187,92,162,286081,637645,2876,38138
malawi,Kanengo,May-23,9693,200,100,153,89,125,79,299395,649351,3301,28773
malawi,Kanengo,Jun-23,9693,100,100,74,98,65,92,422063,847096,3484,50111
malawi,Kanengo,Jul-23,9693,200,150,158,146,154,134,325805,793550,3326,53333
malawi,Kanengo,Aug-23,9693,150,100,106,76,105,74,436947,994182,2833,28909
malawi,Kanengo,Sep-23,9693,100,150,94,143,92,130,261942,564898,2364,32631
malawi,Kanengo,Oct-23,9693,100,150,87,145,70,119,373992,903487,3491,38765
malawi,Kanengo,Nov-23,9693,100,100,81,79,81,79,290226,657521,2927,26725
malawi,Kanengo,Dec-23,9693,200,150,179,105,169,101,357174,797889,2988,45985
malawi,Kanengo,Jan-24,10312,200,100,172,91,155,79,406915,967109,2211,79714
malawi,Kanengo,Feb-24,10312,200,100,154,86,131,74,235918,565631,1792,32340
malawi,Kanengo,Mar-24,10312,200,100,169,86,156,75,480562,1123166,1949,8097
malawi,Kanengo,Apr-24,10312,150,150,113,123,103,122,321528,750652,2512,55273
malawi,Kanengo,May-24,10312,150,200,149,193,134,155,436483,1049990,2403,5017
malawi,Kanengo,Jun-24,10312,200,100,142,73,142,64,449184,1051017,1699,52112
malawi,Kanengo,Jul-24,10312,200,200,177,199,158,172,402086,879192,2065,4965
malawi,Kanengo,Aug-24,10312,150,150,124,114,105,96,292131,680199,2055,47206
malawi,Kanengo,Sep-24,10312,200,100,198,78,171,73,169335,417442,2386,56459
malawi,Kanengo,Oct-24,10312,100,100,93,85,77,77,174139,433870,1888,88455
malawi,Kanengo,Nov-24,10312,150,100,124,93,103,81,303340,684391,1749,80197
malawi,Kanengo,Dec-24,10312,150,100,119,84,114,80,197155,489070,2384,93592
malawi,Lumbadzi,Jan-20,3474,150,100,109,91,106,85,162038,354812,853,69982
malawi,Lumbadzi,Feb-20,3474,100,150,99,142,93,134,245285,520954,808,64416
malawi,Lumbadzi,Mar-20,3474,150,100,106,72,105,70,202543,493179,823,37520
malawi,Lumbadzi,Apr-20,3474,100,100,71,80,57,79,479672,1012800,884,34376
malawi,Lumbadzi,May-20,3474,200,150,163,149,151,121,464306,1101576,721,70542
malawi,Lumbadzi,Jun-20,3474,150,150,128,140,113,123,327984,719396,753,92822
malawi,Lumbadzi,Jul-20,3474,200,150,141,150,139,144,307344,676882,1002,40233
malawi,Lumbadzi,Aug-20,3474,200,200,144,179,122,156,237944,594478,982,25338
malawi,Lumbadzi,Sep-20,3474,200,100,149,74,127,60,413921,830204,922,18773
malawi,Lumbadzi,Oct-20,3474,200,150,145,144,116,132,235322,506892,913,76249
malawi,Lumbadzi,Nov-20,3474,200,150,167,147,144,132,192641,401774,850,7687
malawi,Lumbadzi,Dec-20,3474,100,100,95,72,89,69,255775,518849,949,14611
malawi,Lumbadzi,Jan-21,3679,200,100,150,77,133,65,232005,562042,1173,43577
malawi,Lumbadzi,Feb-21,3679,200,200,150,189,139,156,194126,398439,1092,36114
malawi,Lumbadzi,Mar-21,3679,150,200,132,168,125,151,386251,937331,1037,36376
malawi,Lumbadzi,Apr-21,3679,200,100,149,90,148,79,375925,807045,1068,26009
malawi,Lumbadzi,May-21,3679,100,200,78,185,70,158,277073,618181,864,36327
