country,city,date,sewer_length,complaints,resolved,blocks,sewer_billed,sewer_revenue,opex,san_staff,w_staff,propoor_popn
Uganda,Kampala,Jan-20,106,588,492,256,784000000,678007882,14498000000,488,267,164672
Uganda,Kampala,Feb-20,106,920,710,271,694000000,360346932,18574000000,247,260,42643
Uganda,Kampala,Mar-20,106,672,536,203,783000000,553023079,19298000000,212,417,83749
Uganda,Kampala,Apr-20,106,992,626,253,706000000,590730660,14137000000,241,362,89969
Uganda,Kampala,May-20,106,786,601,205,719000000,447566183,14761000000,305,214,199967
Uganda,Kampala,Jun-20,106,593,448,277,749000000,441983441,11377000000,379,269,165785
Uganda,Kampala,Jul-20,106,871,471,269,744000000,657198991,17478000000,430,400,99213
Uganda,Kampala,Aug-20,106,655,523,290,718000000,370297713,15838000000,293,416,63310
Uganda,Kampala,Sep-20,106,672,491,296,789000000,563977393,16516000000,276,415,103433
Uganda,Kampala,Oct-20,106,781,636,275,732000000,449641685,17609000000,354,299,133597
Uganda,Kampala,Nov-20,106,866,756,258,795000000,630019304,12497000000,489,240,121893
Uganda,Kampala,Dec-20,106,832,714,217,726000000,473835059,17315000000,213,479,96767
Uganda,Kampala,Jan-21,181,906,739,210,706000000,460916410,18465000000,262,284,63662
Uganda,Kampala,Feb-21,181,859,823,257,762000000,611734148,19671000000,439,231,58758
Uganda,Kampala,Mar-21,181,853,842,266,698000000,404250330,19608000000,378,481,60804
Uganda,Kampala,Apr-21,181,598,306,283,791000000,626869984,15983000000,304,363,155362
Uganda,Kampala,May-21,181,967,780,300,698000000,403449714,15390000000,466,443,82005
Uganda,Kampala,Jun-21,181,802,679,242,754000000,573193067,10175000000,259,429,151587
Uganda,Kampala,Jul-21,181,800,453,266,793000000,697461769,10054000000,394,360,67393
Uganda,Kampala,Aug-21,181,861,784,256,717000000,359405513,13129000000,423,422,105373
Uganda,Kampala,Sep-21,181,690,375,299,729000000,438190456,17422000000,241,382,195185
Uganda,Kampala,Oct-21,181,984,697,247,745000000,379653575,15778000000,483,271,127138
Uganda,Kampala,Nov-21,181,539,530,213,724000000,647469590,11446000000,474,226,96686
Uganda,Kampala,Dec-21,181,927,840,285,746000000,493631331,19210000000,292,210,170568
Uganda,Kampala,Jan-22,156,830,662,226,761000000,566932620,10477000000,282,210,64820
Uganda,Kampala,Feb-22,156,648,566,217,789000000,686208439,19501000000,492,317,198437
Uganda,Kampala,Mar-22,156,646,644,250,768000000,390832252,12725000000,202,377,196501
Uganda,Kampala,Apr-22,156,577,516,212,708000000,369083196,17712000000,265,368,122698
Uganda,Kampala,May-22,156,593,459,220,774000000,675825098,18649000000,403,429,68392
Uganda,Kampala,Jun-22,156,624,346,287,722000000,376787159,12217000000,295,488,93450
Uganda,Kampala,Jul-22,156,536,517,208,742000000,599805942,16554000000,448,399,51070
Uganda,Kampala,Aug-22,156,654,636,233,688000000,556240550,10439000000,254,472,64093
Uganda,Kampala,Sep-22,156,635,624,275,731000000,555306460,11881000000,268,467,195789
Uganda,Kampala,Oct-22,156,585,323,259,800000000,567674143,15938000000,443,453,146834
Uganda,Kampala,Nov-22,156,998,989,262,778000000,486198365,16308000000,445,477,120719
Uganda,Kampala,Dec-22,156,589,378,224,711000000,592413696,15150000000,477,303,51041
Uganda,Kampala,Jan-23,162,595,589,287,737000000,617143656,18322000000,361,457,135921
Uganda,Kampala,Feb-23,162,869,495,215,707000000,458028943,14031000000,455,210,181254
Uganda,Kampala,Mar-23,162,766,396,243,778000000,634068715,17577000000,410,327,192744
Uganda,Kampala,Apr-23,162,557,549,250,758000000,600147237,18791000000,231,243,130992
Uganda,Kampala,May-23,162,674,529,237,792000000,616579154,17509000000,356,421,186680
Uganda,Kampala,Jun-23,162,668,592,208,713000000,368444231,11655000000,275,373,204057
Uganda,Kampala,Jul-23,162,565,446,205,744000000,504047918,14868000000,444,429,64091
Uganda,Kampala,Aug-23,162,712,664,267,751000000,661738717,15382000000,483,299,84360
Uganda,Kampala,Sep-23,162,862,651,226,791000000,514722904,19917000000,218,352,70590
Uganda,Kampala,Oct-23,162,920,706,288,693000000,522417004,12420000000,489,496,131786
Uganda,Kampala,Nov-23,162,637,567,243,796000000,450273143,16006000000,295,433,43590
Uganda,Kampala,Dec-23,162,649,494,289,795000000,584983024,11740000000,376,256,175042
Uganda,Kampala,Jan-24,160,621,409,266,689000000,424932494,19590000000,341,447,139052
Uganda,Kampala,Feb-24,160,956,478,267,721000000,542821426,19742000000,324,382,223375
Uganda,Kampala,Mar-24,160,646,443,257,725000000,608142565,10480000000,411,212,81432
Uganda,Kampala,Apr-24,160,883,765,222,771000000,688718218,12466000000,401,265,111784
Uganda,Kampala,May-24,160,604,498,246,711000000,428967122,10598000000,467,495,164243
Uganda,Kampala,Jun-24,160,555,437,244,792000000,622047477,19255000000,446,379,59711
Uganda,Kampala,Jul-24,160,893,614,245,793000000,707415448,17644000000,404,453,177711
Uganda,Kampala,Aug-24,160,667,532,270,787000000,399164300,16577000000,209,268,152697
Uganda,Kampala,Sep-24,160,982,782,232,794000000,508481640,15982000000,382,274,58230
Uganda,Kampala,Oct-24,160,954,663,297,750000000,532261579,12076000000,398,389,94993
Uganda,Kampala,Nov-24,160,702,687,298,762000000,445596677,13083000000,358,486,219322
Uganda,Kampala,Dec-24,160,703,370,271,704000000,396248952,19348000000,276,440,203729
