date,source,production_m3,service_hours,country,Country
02-01-20,kyoga,20815,20.00893264,Uganda,Uganda
03-01-20,kyoga,25110,22.17203724,Uganda,Uganda
04-01-20,kyoga,20009,20.97548442,Uganda,Uganda
05-01-20,kyoga,22861,21.79150038,Uganda,Uganda
06-01-20,kyoga,20297,20.29001583,Uganda,Uganda
07-01-20,kyoga,24449,23.83561469,Uganda,Uganda
08-01-20,kyoga,19071,17.99304175,Uganda,Uganda
10-01-20,kyoga,26758,22.58050053,Uganda,Uganda
14-01-20,kyoga,20230,20.06364354,Uganda,Uganda
16-01-20,kyoga,26447,20.61253341,Uganda,Uganda
17-01-20,kyoga,24039,20.26180169,Uganda,Uganda
18-01-20,kyoga,21026,20.96042041,Uganda,Uganda
19-01-20,kyoga,20787,21.67129589,Uganda,Uganda
20-01-20,kyoga,22761,20.16898788,Uganda,Uganda
24-01-20,kyoga,23383,22.65393029,Uganda,Uganda
25-01-20,kyoga,22574,20.37776596,Uganda,Uganda
26-01-20,kyoga,24148,21.02215961,Uganda,Uganda
28-01-20,kyoga,25349,20.93218341,Uganda,Uganda
29-01-20,kyoga,20155,20.20974853,Uganda,Uganda
31-01-20,kyoga,19747,21.50962377,Uganda,Uganda
01-02-20,kyoga,21122,21.4314622,Uganda,Uganda
02-02-20,kyoga,21542,23.94720008,Uganda,Uganda
06-02-20,kyoga,23539,23.87434205,Uganda,Uganda
07-02-20,kyoga,21948,20.21958393,Uganda,Uganda
08-02-20,kyoga,21098,21.02449884,Uganda,Uganda
09-02-20,kyoga,25824,11.82799497,Uganda,Uganda
11-02-20,kyoga,24560,20.31802925,Uganda,Uganda
13-02-20,kyoga,23799,23.91396471,Uganda,Uganda
14-02-20,kyoga,21835,21.76682466,Uganda,Uganda
15-02-20,kyoga,22273,20.97806889,Uganda,Uganda
16-02-20,kyoga,26113,21.66941507,Uganda,Uganda
17-02-20,kyoga,21792,23.35610588,Uganda,Uganda
22-02-20,kyoga,19263,19.1077864,Uganda,Uganda
23-02-20,kyoga,22014,22.85432295,Uganda,Uganda
25-02-20,kyoga,22141,20.26813856,Uganda,Uganda
26-02-20,kyoga,26464,20.21998155,Uganda,Uganda
28-02-20,kyoga,22521,21.80922409,Uganda,Uganda
29-02-20,kyoga,24276,20.93782559,Uganda,Uganda
02-03-20,kyoga,36856,22.30051709,Uganda,Uganda
05-03-20,kyoga,22903,21.90245327,Uganda,Uganda
07-03-20,kyoga,20523,23.54065352,Uganda,Uganda
10-03-20,kyoga,24545,21.65844809,Uganda,Uganda
12-03-20,kyoga,24711,22.63087963,Uganda,Uganda
