country,zone,year,safely_managed,safely_managed_pct,basic,basic_pct,limited,limited_pct,unimproved,unimproved_pct,open_def,open_def_pct,other_pct,popn_total,households
Uganda,Central,2020,158053,35.09,129669,28.78,92524,20.54,50380,11.18,19849,4.41,0,450476,103106
Uganda,Central,2021,178219,39.12,117976,25.9,82768,18.17,49313,10.82,27298,5.99,0,455573,107422
Uganda,Central,2022,156503,33.3,143078,30.44,111114,23.64,41189,8.76,18140,3.86,0,470023,111020
Uganda,Central,2023,167046,34.63,145227,30.1,82570,17.12,54648,11.33,32949,6.83,0,482439,113269
Uganda,Central,2024,174497,34.5,138552,27.4,111558,22.06,51688,10.22,29432,5.82,0,505727,119519
Uganda,Kawempe,2020,317334,38.17,232822,28,155343,18.68,88235,10.61,37693,4.53,0,831427,190135
Uganda,Kawempe,2021,307642,36.59,251290,29.89,145252,17.27,100183,11.91,36467,4.34,0,840835,194595
Uganda,Kawempe,2022,338234,38.99,234485,27.03,186006,21.44,76340,8.8,32439,3.74,0,867504,202756
Uganda,Kawempe,2023,319773,35.91,267552,30.05,177464,19.93,96534,10.84,29097,3.27,0,890420,206628
Uganda,Kawempe,2024,312780,33.51,270345,28.96,219895,23.56,79239,8.49,51143,5.48,0,933401,218822
Uganda,Nakawa,2020,36867,36.67,32528,32.36,16441,16.35,10769,10.71,3922,3.9,0,100526,22944
Uganda,Nakawa,2021,30929,30.42,34810,34.24,19717,19.39,9219,9.07,6987,6.87,0,101663,23980
Uganda,Nakawa,2022,39881,38.02,35218,33.58,15422,14.7,10786,10.28,3581,3.41,0,104888,24423
Uganda,Nakawa,2023,38572,35.83,30583,28.41,19385,18.01,11489,10.67,7630,7.09,0,107659,24884
Uganda,Nakawa,2024,42586,37.73,34356,30.44,20967,18.58,11056,9.8,3890,3.45,0,112856,26405
Uganda,Rubaga,2020,216465,35.05,181352,29.37,125909,20.39,56811,9.2,37035,6,0,617571,141678
Uganda,Rubaga,2021,207905,33.29,191247,30.62,138766,22.22,63796,10.21,22845,3.66,0,624559,146125
Uganda,Rubaga,2022,212233,32.94,198178,30.76,132037,20.49,59074,9.17,42847,6.65,0,644369,150451
Uganda,Rubaga,2023,227476,34.39,200185,30.27,143251,21.66,55973,8.46,34505,5.22,0,661391,151973
Uganda,Rubaga,2024,235953,34.03,238004,34.33,130179,18.78,62456,9.01,26725,3.85,0,693317,159734
