country,zone,year,safely_managed,safely_managed_pct,basic,basic_pct,limited,limited_pct,unimproved,unimproved_pct,surface_water,surface_water_pct,other_pct,popn_total,households,municipal_coverage
Uganda,Central,2020,164502,36.52,128193,28.46,110536,24.54,31626,7.02,15618,3.47,0,450476,103106,118494
Uganda,Central,2021,200521,44.02,130279,28.6,78291,17.19,28034,6.15,18448,4.05,0,455573,107422,149766
Uganda,Central,2022,183977,39.14,146657,31.2,95371,20.29,24088,5.12,19929,4.24,0,470023,111020,163906
Uganda,Central,2023,182077,37.74,141089,29.24,107886,22.36,36879,7.64,14508,3.01,0,482439,113269,153823
Uganda,Central,2024,210662,41.66,136834,27.06,108899,21.53,38427,7.6,10906,2.16,0,505727,119519,147716
Uganda,Kawempe,2020,348588,41.93,220101,26.47,173082,20.82,61287,7.37,28369,3.41,0,831427,190135,305166
Uganda,Kawempe,2021,390418,46.43,241887,28.77,132488,15.76,58259,6.93,17784,2.12,0,840835,194595,348283
Uganda,Kawempe,2022,315518,36.37,280456,32.33,170568,19.66,67536,7.79,33426,3.85,0,867504,202756,240617
Uganda,Kawempe,2023,366899,41.21,257758,28.95,184008,20.67,58746,6.6,23009,2.58,0,890420,206628,263340
Uganda,Kawempe,2024,381862,40.91,307667,32.96,176342,18.89,47901,5.13,19628,2.1,0,933401,218822,326835
Uganda,Nakawa,2020,38936,38.73,25870,25.74,23618,23.49,8108,8.07,3993,3.97,0,100526,22944,28620
Uganda,Nakawa,2021,42237,41.55,31495,30.98,16607,16.34,7247,7.13,4077,4.01,0,101663,23980,37920
Uganda,Nakawa,2022,43466,41.44,30207,28.8,17346,16.54,9871,9.41,3998,3.81,0,104888,24423,37021
Uganda,Nakawa,2023,42323,39.31,28224,26.22,25013,23.23,7637,7.09,4462,4.14,0,107659,24884,31523
Uganda,Nakawa,2024,53084,47.04,30458,26.99,18092,16.03,7748,6.87,3474,3.08,0,112856,26405,45149
Uganda,Rubaga,2020,250135,40.5,193550,31.34,95907,15.53,50506,8.18,27473,4.45,0,617571,141678,215344
Uganda,Rubaga,2021,267953,42.9,207518,33.23,103909,16.64,31803,5.09,13375,2.14,0,624559,146125,214565
Uganda,Rubaga,2022,247206,38.36,214387,33.27,133846,20.77,34246,5.31,14684,2.28,0,644369,150451,214664
Uganda,Rubaga,2023,266089,40.23,213300,32.25,108241,16.37,44816,6.78,28945,4.38,0,661391,151973,210020
Uganda,Rubaga,2024,273512,39.45,189844,27.38,150418,21.7,53506,7.72,26037,3.76,0,693317,159734,211427
