country,zone,date,households,tests_chlorine,tests_ecoli,tests_conducted_chlorine,test_conducted_ecoli,test_passed_chlorine,tests_passed_ecoli,w_supplied,total_consumption,metered,ww_capacity
Uganda,Central,Jan-20,103106,150,100,134,86,122,81,467744,971544,95951,42478
Uganda,Central,Feb-20,103106,100,200,92,192,75,180,403494,963061,73807,68523
Uganda,Central,Mar-20,103106,100,100,98,75,91,70,190830,440524,76013,61590
Uganda,Central,Apr-20,103106,100,200,70,162,59,162,455243,1137755,100984,45510
Uganda,Central,May-20,103106,100,150,91,148,83,130,181222,397367,79874,48415
Uganda,Central,Jun-20,103106,200,150,198,144,197,143,103097,217378,77748,19467
Uganda,Central,Jul-20,103106,150,100,129,96,105,81,117914,261367,94048,96603
Uganda,Central,Aug-20,103106,100,100,91,79,79,74,341351,785472,102328,15406
Uganda,Central,Sep-20,103106,150,100,134,79,126,70,361560,903092,77021,35547
Uganda,Central,Oct-20,103106,100,150,98,136,98,118,394223,832810,83473,29867
Uganda,Central,Nov-20,103106,200,150,172,115,156,103,368683,775007,81774,44885
Uganda,Central,Dec-20,103106,100,200,84,167,84,156,144554,316466,92727,40859
Uganda,Central,Jan-21,107422,150,150,148,146,120,118,376372,855718,130171,37793
Uganda,Central,Feb-21,107422,100,100,72,79,67,74,483641,1050013,97430,67752
Uganda,Central,Mar-21,107422,100,200,97,161,96,151,214651,480495,102737,85381
Uganda,Central,Apr-21,107422,200,150,195,115,173,95,367304,841487,103822,35399
Uganda,Central,May-21,107422,100,100,95,73,86,62,189339,429319,99401,69903
Uganda,Central,Jun-21,107422,200,150,198,139,174,122,150833,328720,131553,73142
Uganda,Central,Jul-21,107422,200,150,176,147,172,134,120082,261034,99605,33801
Uganda,Central,Aug-21,107422,150,100,140,86,126,74,312808,756250,100041,20422
Uganda,Central,Sep-21,107422,200,100,192,77,190,65,438980,971889,129270,55631
Uganda,Central,Oct-21,107422,200,100,160,86,156,72,452625,1047142,96363,71942
Uganda,Central,Nov-21,107422,150,150,124,117,120,95,392610,843472,109916,13242
Uganda,Central,Dec-21,107422,150,150,131,133,120,130,442181,915327,132918,45976
Uganda,Central,Jan-22,111020,100,100,75,76,64,66,380617,764390,103542,54434
Uganda,Central,Feb-22,111020,100,100,74,86,67,70,247536,539406,130190,46367
Uganda,Central,Mar-22,111020,150,200,113,153,100,140,377966,869697,129339,9370
Uganda,Central,Apr-22,111020,150,100,121,71,103,70,255372,612411,104308,25256
Uganda,Central,May-22,111020,200,200,185,157,157,137,235177,541879,104242,48819
Uganda,Central,Jun-22,111020,100,100,86,90,85,75,166623,409155,107503,44391
Uganda,Central,Jul-22,111020,150,150,107,148,90,147,102060,214607,139567,44215
Uganda,Central,Aug-22,111020,100,200,91,163,76,140,344326,752113,145542,7598
Uganda,Central,Sep-22,111020,200,200,144,179,117,174,337795,820078,103709,16775
Uganda,Central,Oct-22,111020,100,150,85,145,70,139,377129,819054,102195,32279
Uganda,Central,Nov-22,111020,200,100,192,72,164,60,383797,787907,116332,41233
Uganda,Central,Dec-22,111020,100,150,80,146,79,144,230109,555846,123546,57112
Uganda,Central,Jan-23,113269,150,150,139,129,125,121,185007,397896,109498,10578
Uganda,Central,Feb-23,113269,150,100,139,86,119,77,253116,559029,138377,13480
Uganda,Central,Mar-23,113269,100,150,74,111,61,104,412727,980225,123155,49441
Uganda,Central,Apr-23,113269,150,200,130,186,105,167,210083,468319,117837,69089
Uganda,Central,May-23,113269,200,150,181,136,163,128,477330,1076716,134232,62315
Uganda,Central,Jun-23,113269,150,150,150,118,140,112,148876,350329,138034,38192
Uganda,Central,Jul-23,113269,100,200,94,141,80,131,236535,570495,99800,79582
Uganda,Central,Aug-23,113269,150,200,126,152,109,147,331246,778609,133737,70408
Uganda,Central,Sep-23,113269,200,200,184,176,159,160,254945,512424,128005,80036
Uganda,Central,Oct-23,113269,150,100,148,97,123,95,226182,483557,112028,24047
Uganda,Central,Nov-23,113269,200,150,152,125,140,115,435950,919333,125224,22393
Uganda,Central,Dec-23,113269,150,200,142,185,115,178,397069,861587,112510,51446
Uganda,Central,Jan-24,119519,100,150,99,109,83,99,323144,651988,92509,32089
