zone,year_month,consumption_m3
Central,2020-01,971544
Central,2020-02,963061
Central,2020-03,440524
Central,2020-04,1137755
Central,2020-05,397367
Central,2020-06,217378
Central,2020-07,261367
Central,2020-08,785472
Central,2020-09,903092
Central,2020-10,832810
Central,2020-11,775007
Central,2020-12,316466
Central,2021-01,855718
Central,2021-02,1050013
Central,2021-03,480495
Central,2021-04,841487
Central,2021-05,429319
Central,2021-06,328720
Central,2021-07,261034
Central,2021-08,756250
Central,2021-09,971889
Central,2021-10,1047142
Central,2021-11,843472
Central,2021-12,915327
Central,2022-01,764390
Central,2022-02,539406
Central,2022-03,869697
Central,2022-04,612411
Central,2022-05,541879
Central,2022-06,409155
Central,2022-07,214607
Central,2022-08,752113
Central,2022-09,820078
Central,2022-10,819054
Central,2022-11,787907
Central,2022-12,555846
Central,2023-01,397896
Central,2023-02,559029
Central,2023-03,980225
Central,2023-04,468319
Central,2023-05,1076716
Central,2023-06,350329
Central,2023-07,570495
Central,2023-08,778609
Central,2023-09,512424
Central,2023-10,483557
Central,2023-11,919333
Central,2023-12,861587
Central,2024-01,651988
Central,2024-02,788735
Central,2024-03,821929
Central,2024-04,237263
Central,2024-05,331786
Central,2024-06,399159
Central,2024-07,436036
Central,2024-08,950787
Central,2024-09,1039302
Central,2024-10,991845
Central,2024-11,889822
Central,2024-12,279851
Kawempe,2020-01,292558
Kawempe,2020-02,1167424
Kawempe,2020-03,1026013
Kawempe,2020-04,420989
Kawempe,2020-05,865268
Kawempe,2020-06,602711
Kawempe,2020-07,982930
Kawempe,2020-08,1053210
Kawempe,2020-09,945657
Kawempe,2020-10,674294
Kawempe,2020-11,562530
Kawempe,2020-12,985999
Kawempe,2021-01,509980
Kawempe,2021-02,241469
Kawempe,2021-03,752439
Kawempe,2021-04,1099431
Kawempe,2021-05,959648
Kawempe,2021-06,703417
Kawempe,2021-07,844174
Kawempe,2021-08,638237
Kawempe,2021-09,713407
Kawempe,2021-10,544420
