year_month,system_input_m3,consumption_m3,nrw_m3,nrw_pct_of_input
2020-01,696114,2746996,-2050882,-294.6186975121891
2020-02,674722,2852555,-2177833,-322.77486135030426
2020-03,719061,2299244,-1580183,-219.75646016123807
2020-04,669945,3494960,-2825015,-421.6786452619245
2020-05,698500,2748167,-2049667,-293.43836793128133
2020-06,665504,1636209,-970705,-145.86013006683655
2020-07,674329,2140107,-1465778,-217.3683765639621
2020-08,712585,3368185,-2655600,-372.6713304377723
2020-09,683151,2933953,-2250802,-329.4735717286515
2020-10,710633,2652111,-1941478,-273.2040307725647
2020-11,698222,2298452,-1600230,-229.18641921910225
2020-12,693914,2447143,-1753229,-252.65796626094877
2021-01,700596,2739446,-2038850,-291.01650594636567
2021-02,618632,2998669,-2380037,-384.7258143775298
2021-03,709550,3055879,-2346329,-330.67845817771826
2021-04,684732,3605604,-2920872,-426.5715637650935
2021-05,681969,2307846,-1625877,-238.40922387967782
2021-06,710799,2293123,-1582324,-222.61201830615968
2021-07,699490,2379437,-1679947,-240.1674076827403
2021-08,701850,2641320,-1939470,-276.3368241077153
2021-09,688807,3124366,-2435559,-353.5909187914757
2021-10,714474,3152730,-2438256,-341.26588231342214
2021-11,698857,3117656,-2418799,-346.10785897544133
2021-12,686905,2501716,-1814811,-264.20116318850495
2022-01,695204,2632302,-1937098,-278.6373496124878
2022-02,612013,2675272,-2063259,-337.1266623421398
2022-03,706167,3491558,-2785391,-394.43800120934566
2022-04,711639,1759133,-1047494,-147.1945747773801
2022-05,719207,2800935,-2081728,-289.44768335124655
2022-06,686487,1924484,-1237997,-180.33801077077936
2022-07,689024,2696190,-2007166,-291.3056729518856
2022-08,697699,2590322,-1892623,-271.2664057136387
2022-09,671632,3204256,-2532624,-377.0850703956929
2022-10,695622,2805586,-2109964,-303.3204815258862
2022-11,689355,2997428,-2308073,-334.8163138005817
2022-12,705433,2387248,-1681815,-238.40889212724665
2023-01,682284,1905064,-1222780,-179.2186245024066
2023-02,618812,3225690,-2606878,-421.27140391589046
2023-03,702307,2549219,-1846912,-262.97787150064005
2023-04,678336,2634552,-1956216,-288.38451740730255
2023-05,705695,3153132,-2447437,-346.8122914290168
2023-06,681347,3162940,-2481593,-364.21867271742593
2023-07,705610,2532727,-1827117,-258.9414832556228
2023-08,691214,3231107,-2539893,-367.4539288845423
2023-09,647397,2342311,-1694914,-261.8044260322491
2023-10,700448,3100451,-2400003,-342.6382829274978
2023-11,699203,2009840,-1310637,-187.44727925938534
2023-12,694311,2368482,-1674171,-241.12695895643304
2024-01,713721,2956895,-2243174,-314.2928399192401
2024-02,671268,2575136,-1903868,-283.622636562446
2024-03,677037,2480504,-1803467,-266.3764314210302
2024-04,678170,1769729,-1091559,-160.95654481914565
2024-05,675217,1444021,-768804,-113.86028491581226
2024-06,677402,2161593,-1484191,-219.10047505026554
2024-07,687431,2331782,-1644351,-239.20233448884323
2024-08,706281,3409417,-2703136,-382.7281209603543
2024-09,662848,3032886,-2370038,-357.55376798300665
2024-10,682078,2772121,-2090043,-306.42287245740226
2024-11,684904,3257152,-2572248,-375.5632906217514
2024-12,702635,2826935,-2124300,-302.3333594255908
