year_month,billed,paid,nrw_amount,nrw_rate_pct,year_month_dt,system_input,loss_pct_of_input
2020-01,0.0,0.0,0.0,,2020-01-01,2843827,0.0
2020-02,0.0,0.0,0.0,,2020-02-01,2619095,0.0
2020-03,0.0,0.0,0.0,,2020-03-01,2867083,0.0
2020-04,0.0,0.0,0.0,,2020-04-01,2714875,0.0
2020-05,0.0,0.0,0.0,,2020-05-01,2775790,0.0
2020-06,0.0,0.0,0.0,,2020-06-01,2694164,0.0
2020-07,0.0,0.0,0.0,,2020-07-01,2782015,0.0
2020-08,0.0,0.0,0.0,,2020-08-01,2812648,0.0
2020-09,0.0,0.0,0.0,,2020-09-01,2703384,0.0
2020-10,0.0,0.0,0.0,,2020-10-01,2800830,0.0
2020-11,0.0,0.0,0.0,,2020-11-01,2697163,0.0
2020-12,0.0,0.0,0.0,,2020-12-01,2794865,0.0
2021-01,0.0,0.0,0.0,,2021-01-01,2798862,0.0
2021-02,0.0,0.0,0.0,,2021-02-01,2491871,0.0
2021-03,0.0,0.0,0.0,,2021-03-01,2841257,0.0
2021-04,0.0,0.0,0.0,,2021-04-01,2711981,0.0
2021-05,0.0,0.0,0.0,,2021-05-01,2769272,0.0
2021-06,0.0,0.0,0.0,,2021-06-01,2764364,0.0
2021-07,0.0,0.0,0.0,,2021-07-01,2799985,0.0
2021-08,0.0,0.0,0.0,,2021-08-01,2766651,0.0
2021-09,0.0,0.0,0.0,,2021-09-01,2747232,0.0
2021-10,0.0,0.0,0.0,,2021-10-01,2808326,0.0
2021-11,0.0,0.0,0.0,,2021-11-01,2691048,0.0
2021-12,0.0,0.0,0.0,,2021-12-01,2770803,0.0
2022-01,0.0,0.0,0.0,,2022-01-01,2774400,0.0
2022-02,0.0,0.0,0.0,,2022-02-01,2482004,0.0
2022-03,0.0,0.0,0.0,,2022-03-01,2805228,0.0
2022-04,0.0,0.0,0.0,,2022-04-01,2746119,0.0
2022-05,0.0,0.0,0.0,,2022-05-01,2800181,0.0
2022-06,0.0,0.0,0.0,,2022-06-01,2694730,0.0
2022-07,0.0,0.0,0.0,,2022-07-01,2861240,0.0
2022-08,0.0,0.0,0.0,,2022-08-01,2805015,0.0
2022-09,0.0,0.0,0.0,,2022-09-01,2730224,0.0
2022-10,0.0,0.0,0.0,,2022-10-01,2773633,0.0
2022-11,0.0,0.0,0.0,,2022-11-01,2738876,0.0
2022-12,0.0,0.0,0.0,,2022-12-01,2768574,0.0
2023-01,0.0,0.0,0.0,,2023-01-01,2775414,0.0
2023-02,0.0,0.0,0.0,,2023-02-01,2525019,0.0
2023-03,0.0,0.0,0.0,,2023-03-01,2817070,0.0
2023-04,0.0,0.0,0.0,,2023-04-01,2729991,0.0
2023-05,0.0,0.0,0.0,,2023-05-01,2816074,0.0
2023-06,0.0,0.0,0.0,,2023-06-01,2687660,0.0
2023-07,0.0,0.0,0.0,,2023-07-01,2815407,0.0
2023-08,0.0,0.0,0.0,,2023-08-01,2757706,0.0
2023-09,0.0,0.0,0.0,,2023-09-01,2666247,0.0
2023-10,0.0,0.0,0.0,,2023-10-01,2776834,0.0
2023-11,0.0,0.0,0.0,,2023-11-01,2699294,0.0
2023-12,0.0,0.0,0.0,,2023-12-01,2803606,0.0
2024-01,0.0,0.0,0.0,,2024-01-01,2774564,0.0
2024-02,0.0,0.0,0.0,,2024-02-01,2649447,0.0
2024-03,0.0,0.0,0.0,,2024-03-01,2802753,0.0
2024-04,0.0,0.0,0.0,,2024-04-01,2704794,0.0
2024-05,0.0,0.0,0.0,,2024-05-01,2794432,0.0
2024-06,0.0,0.0,0.0,,2024-06-01,2709031,0.0
2024-07,0.0,0.0,0.0,,2024-07-01,2794024,0.0
2024-08,0.0,0.0,0.0,,2024-08-01,2787186,0.0
2024-09,0.0,0.0,0.0,,2024-09-01,2717059,0.0
2024-10,0.0,0.0,0.0,,2024-10-01,2758525,0.0
2024-11,0.0,0.0,0.0,,2024-11-01,2699673,0.0
2024-12,0.0,0.0,0.0,,2024-12-01,2794640,0.0
